Var1,Var2
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10249,-68.65954167
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10247583,-68.65954967
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10245417,-68.6595625
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10244017,-68.65957217
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10242633,-68.65958317
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10240583,-68.65960283
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10239083,-68.6596185
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10237383,-68.65963567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10234417,-68.65966567
45.10232233,-68.65968517
45.10232233,-68.65968517
45.10232233,-68.65968517
45.10232233,-68.65968517
45.10232233,-68.65968517
45.10232233,-68.65968517
45.10232233,-68.65968517
