latitude,longitude
45.09874009,-68.65962273
45.09878461,-68.65973952
45.09885438,-68.65986914
45.09890925,-68.65998273
45.09895857,-68.6600773
45.09901809,-68.66014956
45.09906038,-68.66021629
45.09913876,-68.6603049
45.09923747,-68.66040128
45.0993119,-68.66045781
45.09942106,-68.66052482
45.09950845,-68.66057637
45.09960273,-68.66063015
45.09970346,-68.66064828
45.09982432,-68.66064172
45.0999222,-68.66064858
45.10002666,-68.66067339
45.10011403,-68.66063136
45.10019469,-68.66060668
45.1002793,-68.66060096
45.10037195,-68.66059354
45.10042233,-68.66053502
45.10048869,-68.6604839
45.10056428,-68.66045069
45.1006447,-68.66040548
45.10072053,-68.66035916
45.10080637,-68.66030783
45.10086142,-68.66025795
45.10094306,-68.66019968
45.10103708,-68.6601416
45.10112582,-68.66012104
45.10121665,-68.66005109
45.10127779,-68.6599825
45.10134125,-68.65989718
45.1014121,-68.65982334
45.1015168,-68.65974613
45.1015917,-68.65967103
45.10166816,-68.65958744
45.10173279,-68.65949271
45.10180422,-68.65940528
45.10189499,-68.65930336
45.10194869,-68.65922876
45.1020108,-68.65916911
45.10206462,-68.65910829
45.10212563,-68.65905634
45.10216921,-68.65896241
